sample_id,ch4_height,co2_height,n2o_height,ecosystem,row,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,co2_ppm,ch4_ppm,n2o_ppm
02212024_006,2277,432883,3781,Short1,6,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,486.09160323380536,2.568423768799764,0.33768978862756777
02212024_007,2259,474749,3821,Short2,7,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,533.1036389593628,2.548120023591861,0.34126228044060736
02212024_008,2230,493535,3802,Short3,8,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,554.1987544024508,2.5154084340902387,0.33956534682941353
02212024_009,2229,564854,3815,Short4,9,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,634.2840593255635,2.5142804482453553,0.34072640666865145
02212024_010,2166,570248,3810,Short5,10,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,640.3410726706086,2.4432173400176938,0.3402798451920215
02212024_012,2280,455348,3851,Long1,12,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,511.3179296699265,2.5718077263344146,0.34394164930038706
02212024_013,2265,536707,3810,Long2,13,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,602.677319499278,2.5548879386611616,0.3402798451920215
02212024_014,2241,612062,3820,Long3,14,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,687.2947167213529,2.5278162783839573,0.34117296814528136
02212024_015,2259,734605,3854,Long4,15,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,824.9003130027504,2.548120023591861,0.34420958618636505
02212024_016,2185,796298,3861,Long5,16,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,894.1764205844829,2.4646490710704807,0.34483477225364695
02212024_018,2340,813522,3787,NoSource1,18,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,913.5175399495287,2.6394868770274256,0.33822566239952373
02212024_019,2366,803909,3813,NoSource2,19,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,902.7229405268519,2.6688145089943967,0.34054778207799946
02212024_020,2336,768225,3789,NoSource3,20,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,862.652776603124,2.634974933647891,0.33840428699017566
02212024_021,2323,777295,3783,NoSource4,21,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,872.8376321907322,2.620311117664406,0.33786841321821975
02212024_022,2338,780997,3800,NoSource5,22,888756.8333333334,9042.666666666666,11196.666666666666,1.7810476108950857,4.568024856271053,3.562329995299343,876.9946702707019,2.6372309053376584,0.3393867222387616
